,text,label
0,possuo projeto node js porem preciso criar executavel windows linux ambos contendo ainda node js embutido consegui fazer algo parecido aplicacao code utilizando plugin grunt porem gostaria saber fazer aplicacao node js normal,"(1, 0, 0, 0)"
1,gostaria fazer testes unitarios node js utilizando code porem nao reconhece variavel code code code ha maneira resolver alguem sugere framework testes adequado node utilizando conjunto grunt configuracoes code,"(1, 0, 0, 0)"
2,inverter ordem jquery itera array elementos neste caso gostaria inverter conteudo items dentro array exemplo code,"(0, 1, 0, 0)"
3,pagina onde pretendo utilizar conjunto webworkers realizar tarefas segundo plano cada webworker funcao especifica porem potencialmente util demais simples receber enviar mensagens webworker criado pagina criado webworker especifico caso sub workers pois existe referencia code pode adicionar ouvintes chamar metodos code digamos code quiser enviar mensagem code possivel faze lo rotear mensagem atraves thread principal i code code recebe mensagem faz code pro code razao performance html5 web messaging serializa parametros mensagem momento dessa escrita maioria navegadores ainda nao dao suporte code s roteamento exigiria dados serializados serializados duas vezes ainda overhead enviar duas mensagens negligivel sempre verdade vez certas aplicacoes webgl exemplo podem manter thread principal ocupado tempo,"(0, 0, 1, 0)"
4,exibir dados retornados firestore diretiva angular ngmodel gostaria pegar dados retornado firestore exibir diretiva angular ngmodel exibindo tela edicao pessoa model ts code pessoa service ts code pessoa view ts code pessoa edit component html code,"(0, 0, 1, 1)"
5,vi video link abaixo gostaria construir elemento somente aparecesse rolagem atingir ponto toque nele creio deve ser javascript alguem souber ficaria grato d tentei linkar arquivos add div projeto simplesmente sumiu obs mostra efeito 3 46,"(0, 0, 1, 0)"
6,consigo fazer requisicao upload arquivo atraves postman faco pedido angular retornado warn required multipartfile parameter file is not present segue recurso api feita java spring boot code servico angular usando jwt tambem tentando fazer requisicao usando httpclient code consigo fazer requisicao postman normalmente tentei muitas solucoes encontrei criar bean multipartresolver etc nenhuma solucao resolveu problema acho interessante funciona normalmente postman cabecalho requisicao navegador causando problema cabecalho postman requisicao funciona corretamente,"(0, 0, 0, 1)"
7,apresentando seguinte erro ionic nao reconhecido comando interno externo programa operavel arquivo lotes porem comando aparece so cmder prompt node js instalei funciona normal criar aplicacao ionic 3 nao atualiza pagina durante desenvolvimento salva exemplo poder ser outro problema realemente variavel ambiente segue configuracao variaveis ambiente,"(1, 0, 0, 0)"
8,formulario reativo preciso mostrar card somente array code diferente code acontece inicialmente nao existe code entao retorna can not read property indexvariacaoatributo of undefined tentei code existe alguma alternativa pra so mostrar card propriedade array indexvariacaoatributo diferente null antes existir,"(0, 0, 0, 1)"
9,problema nao faco ideia resolver quero salvar imagens storage azure code erro apontado aqui let type matches 1 nao consigo entender resolver mensagem erro typeerror can not read property 1 of null nao ajuda alguem pode ajudar,"(1, 0, 0, 0)"
10,retornando alguns parametros preciso desmembrar parametros salvando duas tabelas segue codigo inicial lamina controller js code lamina service js code laminaresource java code simulacaoservice java code,"(0, 0, 0, 1)"
11,html vou inserindo conforme preciso code coloco id classe div coloco evento click nela logo abaixo nao funciona ex code nao acontece nada nao reconhecesse classe alguem sabe oq pode ser,"(0, 1, 0, 0)"
12,bem desenvolvendo app ionic 3 firebase banco realtime ocorrendo tudo normalmente instalei firebase admin estourou varios erros devo proceder segue erros abaixo code,"(1, 0, 0, 0)"
13,ngfor repete cards conforme numero variacoes code dentro desse ngfor outro ngfor repete atributos deste card code variavel ngfor i index cards 2 cards i 1 tambem variavel ngfor indexatributo valor numero atributos todos cards 5 atributos indexatributo 4 tendo dificuldades posso fazer dar hidden div atributos nao possuir nenhum atributo naquele card usar auxiliar condicao possuo array listatributos composto seguinte forma code onde indexvariacaoatributo diz pra card atributo pertente neste caso atributo azul m pertencem card 0 outro card pertence azul g alguem consegue pensar alguma condicao segunda div mostrada apenas possuir atributos destinados div,"(0, 0, 0, 1)"
14,gostaria saber executar funcao javascript pegando nome banco dados exemplo code existe forma fazer forma errada sim fazer obs objetivo disso fazer compre carta funcao deve acontecer forma imediata entao chame funcao salva banco dados sao muitas cartas nao viavel ficar fazendo if cada carta ja sao funcoes diferentes,"(0, 1, 1, 0)"
15,bom queria usuario cadastrar sistema desse tudo certo aparecesse modal dizendo usuario cadastrado sucesso ja existir code code informado aparecera modal algo tipo matricula email ja existente usuario informa senha vazias senhas nao corresponderem modal algo tipo senha nao correspondem code alert informar senhas sao iguais code codigo queria reaproveitar code formulario code,"(0, 0, 1, 0)"
16,seguinte mat checkbox code segundo input formcontrolnomeidentificador deve ser required checkbox selecionado posso fazer form builder code,"(0, 0, 0, 1)"
17,campo profissoes aparece dentro tabela paciente campo profissoes autocomplete gen chosen quero criar botao nova profissao onde pesquisar combobox nao achar profissao desejada clica botao nova profissao abra campo entrar novo dado problema clicar salvar tela nao pode atualizar somente listagem profissoes combobox consegui puxar campo profissoes dentro tabela paciente clica salvar redirecionado profissoes utilizando ajax jquery rails 4 2 code campo profissao form erb code new js erb code,"(0, 1, 0, 0)"
18,html code css code javascript code todo codigo arquvio assunto tag id assunto outro ira surgir textarea pedindo especificar melhor assunto textarea id toutro nao alinhada div ja tentei usar text align center tag nao funcionou ideias caso queira testar entender facilidade dizendo apenas coloque assunto outro visualizar,"(0, 0, 1, 0)"
19,desenvolvendo aplicacao angular2 angularfire2 firebase enfrentando dificuldades implementar autenticacao consegui fazer login logout porem pagina recarregada perco autenticacao serico code guard code dei olhada problemas parecidos aqui starckoverflow comentado implementar firebase auth onauthstatechanged porem nao entendi implementa lo,"(0, 0, 0, 1)"
20,formulario criado dinamicamente usando metodo code resultado algo nesse formato code acima basicamente item formulario gerado lista itens dinamicamente abaixo usando ajax pretendo gravar banco banco dados porem nao sei resgatar valores code veja code resgatar valores code dinamicos tanto checked quanto unchecked formulario usando metodo code possivel,"(0, 1, 0, 0)"
21,gostaria ajuda nesse pequeno problema fazer combobox mostra 5 estados sendo carregado array javascript codigo assim html code javascript assim code debugando console log tras resultados bonitinhos deve ser hora printar objeto tras seguinte erro uncaught typeerror can not read property appendchild of null,"(0, 0, 1, 0)"
22,bom duvida seguinte formulario html carregar submit numero aleatorio 1 5 php queria saber poderia fazer clicasse botao php selecionava numeros 1 5 aleatoriamente enviava simples roleta javascript mostrar numero escolhido roleta simulava rodava calhava numero escolhido,"(0, 0, 1, 0)"
23,introducao desenvolvendo estrutura utilizando angularjs requirejs comecando estudar requirejs pesquisei bastante sobre ainda nao obtive algo claro utilizando angularjs github code problema resolvido problema dependencia arquivo code linha 2 removendo dependencia angular code funciona perfeitamente caso alguma critica melhorar estrutura podem falar solucao alterei code code code problema 2 update agora problema dependencia solucionada proejto vezes funciona chamada controller vezes apenas trava antes peco gentileza clonem repositorio testem vejam code ira funcionar problema 2 update 2 problema somente google chrome firefox roda redondo,"(0, 0, 0, 1)"
24,problema utilizando code mascara data seguinte tento utilizar backspace modificar data nao consigo passar barra so mantenho botao pressionado barra fica desaparecendo aparecendo faca teste aqui fiddle abaixo executar trecho codigo digite data qualquer tente apagar so acontece utilizando code code fica normal usar code porque serve tambem pra habilitar botao data validar ser acabar digitar nao perder foco code code jeito,"(0, 0, 1, 0)"
25,criei fiddle teste code dentro variavel pretendo adicionar classe code mesma code code problema code sempre null tento adicionar classe erro,"(0, 1, 1, 0)"
26,cada vez encontro artigos ingles portugues falam disso faco mal continuar utilizar code websites errado existe algum outro code code deva aprender deixa lo lado site mostra talvez nao precise utilizar code projetos realmente deveria,"(0, 1, 0, 0)"
